iter	Passed	Remaining
0	174	174456
1	183	91589
2	192	64018
3	200	49977
4	209	41728
5	217	35960
6	226	32133
7	234	29028
8	242	26723
9	250	24833
10	259	23307
11	268	22128
12	278	21111
13	289	20394
14	297	19545
15	310	19094
16	323	18723
17	336	18333
18	347	17927
19	360	17682
20	373	17407
21	386	17189
22	395	16810
23	405	16472
24	418	16321
25	434	16292
26	446	16104
27	461	16003
28	478	16006
29	508	16429
30	521	16304
31	533	16141
32	549	16099
33	570	16206
34	589	16253
35	606	16246
36	620	16138
37	638	16166
38	657	16206
39	672	16130
40	685	16039
41	698	15932
42	708	15762
43	718	15611
44	729	15478
45	738	15322
46	748	15177
47	760	15079
48	770	14947
49	780	14838
50	791	14731
51	801	14611
52	811	14500
53	821	14389
54	830	14277
55	841	14187
56	851	14090
57	863	14018
58	876	13982
59	896	14039
60	914	14078
61	927	14026
62	940	13981
63	952	13923
64	964	13875
65	978	13845
66	991	13801
67	1003	13749
68	1014	13689
69	1026	13638
70	1039	13596
71	1052	13563
72	1064	13519
73	1078	13496
74	1093	13480
75	1110	13496
76	1124	13480
77	1140	13482
78	1158	13500
79	1173	13495
80	1187	13472
81	1202	13461
82	1216	13440
83	1234	13461
84	1249	13451
85	1266	13463
86	1279	13428
87	1295	13420
88	1309	13402
89	1321	13362
90	1339	13377
91	1357	13398
92	1370	13363
93	1386	13359
94	1402	13360
95	1415	13325
96	1425	13270
97	1437	13227
98	1451	13209
99	1463	13174
100	1475	13137
101	1489	13110
102	1502	13081
103	1515	13058
104	1529	13034
105	1540	12996
106	1553	12965
107	1565	12927
108	1575	12881
109	1586	12836
110	1598	12800
111	1609	12762
112	1619	12716
113	1632	12689
114	1644	12659
115	1655	12615
116	1666	12576
117	1677	12539
118	1687	12496
119	1699	12464
120	1712	12439
121	1724	12412
122	1735	12375
123	1747	12346
124	1760	12322
125	1773	12301
126	1788	12291
127	1815	12369
128	1828	12345
129	1842	12330
130	1856	12315
131	1869	12294
132	1882	12274
133	1894	12246
134	1907	12219
135	1920	12201
136	1933	12179
137	1948	12173
138	1960	12146
139	1977	12144
140	1999	12179
141	2017	12192
142	2039	12223
143	2051	12196
144	2063	12165
145	2078	12158
146	2094	12154
147	2108	12138
148	2121	12117
149	2134	12098
150	2147	12072
151	2160	12050
152	2172	12028
153	2184	12000
154	2194	11964
155	2206	11935
156	2219	11916
